Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-03-13,98.6311,100.078,98.4854,98.8252,358276.23
2018-03-14,99.165,100.505,99.165,99.6408,471076.68
2018-03-15,100.126,100.126,97.4272,98.9223,595343.09
2018-03-16,99.0194,100.272,96.9029,97.3786,1402940.34
2018-03-19,97.6214,97.6214,91.5563,91.6136,1094820.99
2018-03-20,91.4602,91.4796,87.6864,89.7466,1352189.15
2018-03-21,89.6311,91.3447,87.7437,91.0942,883025.18
2018-03-22,91.4214,91.9408,87.9175,88.4757,789388.91
2018-03-23,87.6087,88.033,85.8379,87.5709,654163.3
2018-03-26,86.6466,86.6466,82.9107,83.7,943551.07
2018-03-27,85.2981,86.4155,83.565,83.565,733921.35
2018-03-28,82.7379,82.7379,79.1757,81.0621,1455893.67
2018-03-29,81.833,84.8942,81.5437,83.5845,981184.18
2018-04-03,83.8155,84.7204,82.0252,84.7204,428948.65
2018-04-04,85.0291,85.1825,82.8718,84.3932,710552.71
2018-04-05,85.6835,88.0903,85.5874,86.8777,809119.59
2018-04-06,86.5311,87.7437,85.7408,86.5117,415417.54
2018-04-09,87.6864,87.9553,85.4913,85.7223,646277.62
2018-04-10,87.6087,88.5524,86.2029,87.9359,771651.28
2018-04-11,87.9359,89.534,87.3204,88.4757,682753.01
2018-04-12,87.6476,88.9184,86.935,88.5718,640341.73
2018-04-13,89.534,90.2854,88.668,88.8602,433568.2
2018-04-16,88.8602,89.9194,88.8223,89.4379,433594.98
2018-04-17,89.4379,89.8806,88.8223,89.3806,548410.11
2018-04-18,90.2272,91.9408,89.534,91.9408,647868.97
2018-04-19,92.0379,94.1359,91.4602,92.3262,772597.85
2018-04-20,92.2689,93.1932,91.4408,92.1534,374264.92
2018-04-23,92.4417,93.1738,87.4932,88.1291,836045.85
2018-04-24,88.5718,90.4971,88.533,89.3417,578800.26
2018-04-25,87.6087,88.9563,87.3398,87.6087,2160278.74
2018-04-26,87.4738,89.765,86.8388,89.765,647967.85
2018-04-27,90.0155,90.7087,88.3019,88.8029,398829.39
2018-04-30,89.2068,90.7476,88.4563,90.1505,600385.97
2018-05-02,90.7864,92.2874,90.2087,92.2301,395421.12
2018-05-04,92.2301,92.2301,88.8223,89.2456,626479.99
2018-05-07,89.534,89.6883,88.0709,88.5524,235715.5
2018-05-08,88.9563,89.3417,87.8981,89.0534,623098.5
2018-05-09,89.0534,90.6709,88.8796,90.0155,389744.79
