Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-03-21,49.0414,49.0414,47.0765,48.199,18261.963302176
2018-03-22,48.9486,48.9486,47.3567,47.5441,7940.2568804832
2018-03-23,47.5441,47.5441,46.608,46.608,7692.385320858
2018-03-26,47.2639,47.2639,43.8008,44.3152,23419.155962563
2018-03-27,44.9233,45.4855,44.035,44.0819,5428.073394324
2018-03-28,43.0521,43.6134,41.835,42.3035,21969.577980958
2018-03-29,42.4899,45.6729,42.4899,43.7071,40048.513760203
2018-04-03,43.9882,45.9999,43.8945,45.6261,7642.1834859972
2018-04-04,46.4216,46.5153,44.4557,45.5792,5416.5688071684
2018-04-05,46.2342,49.0414,45.9062,48.7612,15419.284403183
2018-04-06,49.6036,51.9433,48.6675,51.0072,28867.10091652
2018-04-09,52.3171,53.4406,51.6622,52.2234,14990.477063747
2018-04-10,52.7856,52.8793,51.2883,51.2883,6562.84403649
2018-04-11,51.2883,51.8496,48.8549,50.5397,8023.9266052512
2018-04-12,50.1649,50.1649,49.0414,49.3225,16806.110091212
2018-04-13,49.6973,51.1009,49.1351,51.1009,3601.9816512624
2018-04-16,47.7315,48.6675,46.0468,47.2639,63158.091741125
2018-04-17,47.2639,47.7315,46.3279,46.4216,7479.0275226996
2018-04-18,46.3279,47.7315,46.3279,47.5441,6741.6880731816
2018-04-19,47.7315,47.7315,46.7954,46.7954,2361.5779815768
2018-04-20,46.7954,47.7315,46.7954,47.3567,29433.963301823
2018-04-23,47.3567,47.3567,46.7954,46.9828,7609.7614676496
2018-04-24,46.9828,47.3567,46.3279,46.8891,5665.4862383532
2018-04-25,46.7954,46.9828,45.3918,45.8594,12972.990825278
2018-04-26,45.3918,47.7315,45.3918,47.7315,6309.7431190668
2018-04-27,47.8252,49.1351,47.7315,49.1351,9182.752293288
2018-04-30,48.6675,51.382,48.0126,51.382,16305.137614164
2018-05-02,51.4748,51.4748,50.5397,51.4748,2300.91743112
2018-05-04,49.6036,51.1009,48.7612,49.1351,15858.550458215
2018-05-07,49.0414,50.8198,49.0414,50.6324,15963.137614175
2018-05-08,49.6036,51.6622,49.6036,51.5685,10521.467889576
2018-05-09,51.6622,51.8496,50.5397,51.8496,4995.0825686496
2018-05-10,51.8496,51.8496,51.0072,51.6622,3815.3394494208
2018-05-11,51.8496,51.8496,50.8198,50.9135,7381.7614676568
2018-05-14,51.0072,51.7559,50.9135,51.7559,4520.2568805912
2018-05-15,51.7559,51.7559,50.9135,51.0072,13185.302751877
2018-05-16,50.7261,50.7261,50.446,50.446,12615.302751895
2018-05-17,50.5397,50.5397,49.6973,50.0712,1018.6788990504
2018-05-18,49.5099,49.5099,47.8252,48.5738,3539.2293576864
2018-05-21,48.2927,48.9486,48.2927,48.5738,4059.0275228076
2018-05-22,48.3864,48.5738,46.8891,46.8891,3399.0825687
2018-05-23,47.0765,47.7315,45.2981,46.7954,5418.6605502876
2018-05-24,45.8594,46.7486,45.8594,46.5153,4093.5412842744
2018-05-25,45.8594,46.4684,45.8594,46.2342,1064.6972476728
2018-05-28,45.9531,48.2927,45.8125,47.9189,8934.8807336628
2018-05-29,47.3567,48.6675,46.4684,47.2639,1916.0366971872
2018-05-30,47.4504,50.5397,45.2044,50.5397,12164.532109708
2018-06-01,50.3523,50.3523,47.9189,49.9775,2047.8165136968
2018-06-04,47.5441,49.0414,47.5441,48.6675,4307.9449539924
2018-06-05,47.8252,48.8549,47.8252,48.6675,1262.3669724372
2018-06-06,48.8549,50.0712,48.8549,49.2288,14406.88073349
2018-06-07,48.6675,49.6036,48.2927,48.5738,2488.1284402884
